Offer                      Publisher           Sku                      Urn                                                           Version
-------------------------  ------------------  -----------------------  ------------------------------------------------------------  ------------
sles_12_pci                buddhalabs          sles12-pci               buddhalabs:sles_12_pci:sles12-pci:1.0.0                       1.0.0
cy_sles151_cpucluster2021  crunchyard          plan1                    crunchyard:cy_sles151_cpucluster2021:plan1:1.0.0              1.0.0
cy_sles151_gluster2020     crunchyard          plan1                    crunchyard:cy_sles151_gluster2020:plan1:3.0.0                 3.0.0
SQL2017-SLES12SP2          MicrosoftSQLServer  Enterprise               MicrosoftSQLServer:SQL2017-SLES12SP2:Enterprise:14.0.1000210  14.0.1000210
SQL2017-SLES12SP2          MicrosoftSQLServer  Express                  MicrosoftSQLServer:SQL2017-SLES12SP2:Express:14.0.1000210     14.0.1000210
SQL2017-SLES12SP2          MicrosoftSQLServer  SQLDEV                   MicrosoftSQLServer:SQL2017-SLES12SP2:SQLDEV:14.0.1000210      14.0.1000210
SQL2017-SLES12SP2          MicrosoftSQLServer  Standard                 MicrosoftSQLServer:SQL2017-SLES12SP2:Standard:14.0.1000210    14.0.1000210
SQL2017-SLES12SP2          MicrosoftSQLServer  Web                      MicrosoftSQLServer:SQL2017-SLES12SP2:Web:14.0.1000210         14.0.1000210
sql2019-sles12sp5          MicrosoftSQLServer  enterprise               MicrosoftSQLServer:sql2019-sles12sp5:enterprise:15.0.201110   15.0.201110
sql2019-sles12sp5          MicrosoftSQLServer  enterprise               MicrosoftSQLServer:sql2019-sles12sp5:enterprise:15.0.210112   15.0.210112
sql2019-sles12sp5          MicrosoftSQLServer  enterprise               MicrosoftSQLServer:sql2019-sles12sp5:enterprise:15.0.210209   15.0.210209
sql2019-sles12sp5          MicrosoftSQLServer  enterprise               MicrosoftSQLServer:sql2019-sles12sp5:enterprise:15.0.210218   15.0.210218
sles-15-sp2-basic          SUSE                gen1                     SUSE:sles-15-sp2-basic:gen1:2020.08.03                        2020.08.03
sles-15-sp2-basic          SUSE                gen1                     SUSE:sles-15-sp2-basic:gen1:2020.09.21                        2020.09.21
sles-15-sp2-basic          SUSE                gen1                     SUSE:sles-15-sp2-basic:gen1:2020.12.10                        2020.12.10
sles-15-sp2-basic          SUSE                gen1                     SUSE:sles-15-sp2-basic:gen1:2021.02.05                        2021.02.05
sles-15-sp2-basic          SUSE                gen2                     SUSE:sles-15-sp2-basic:gen2:2020.07.21                        2020.07.21
sles-15-sp2-basic          SUSE                gen2                     SUSE:sles-15-sp2-basic:gen2:2020.08.03                        2020.08.03
sles-15-sp2-basic          SUSE                gen2                     SUSE:sles-15-sp2-basic:gen2:2020.09.21                        2020.09.21
sles-15-sp2-basic          SUSE                gen2                     SUSE:sles-15-sp2-basic:gen2:2020.12.10                        2020.12.10
sles-15-sp2-basic          SUSE                gen2                     SUSE:sles-15-sp2-basic:gen2:2021.02.05                        2021.02.05
sles-15-sp2-byos           SUSE                gen1                     SUSE:sles-15-sp2-byos:gen1:2020.07.16                         2020.07.16
sles-15-sp2-byos           SUSE                gen1                     SUSE:sles-15-sp2-byos:gen1:2020.08.03                         2020.08.03
sles-15-sp2-byos           SUSE                gen1                     SUSE:sles-15-sp2-byos:gen1:2020.09.21                         2020.09.21
sles-15-sp2-byos           SUSE                gen1                     SUSE:sles-15-sp2-byos:gen1:2020.11.06                         2020.11.06
sles-15-sp2-byos           SUSE                gen1                     SUSE:sles-15-sp2-byos:gen1:2020.12.11                         2020.12.11
sles-15-sp2-byos           SUSE                gen1                     SUSE:sles-15-sp2-byos:gen1:2021.02.16                         2021.02.16
sles-15-sp2-byos           SUSE                gen2                     SUSE:sles-15-sp2-byos:gen2:2020.07.16                         2020.07.16
sles-15-sp2-byos           SUSE                gen2                     SUSE:sles-15-sp2-byos:gen2:2020.08.03                         2020.08.03
sles-15-sp2-byos           SUSE                gen2                     SUSE:sles-15-sp2-byos:gen2:2020.09.21                         2020.09.21
sles-15-sp2-byos           SUSE                gen2                     SUSE:sles-15-sp2-byos:gen2:2020.11.06                         2020.11.06
sles-15-sp2-byos           SUSE                gen2                     SUSE:sles-15-sp2-byos:gen2:2020.12.11                         2020.12.11
sles-15-sp2-byos           SUSE                gen2                     SUSE:sles-15-sp2-byos:gen2:2021.02.16                         2021.02.16
sles-15-sp2-chost-byos     SUSE                gen1                     SUSE:sles-15-sp2-chost-byos:gen1:2020.07.21                   2020.07.21
sles-15-sp2-chost-byos     SUSE                gen1                     SUSE:sles-15-sp2-chost-byos:gen1:2020.08.03                   2020.08.03
sles-15-sp2-chost-byos     SUSE                gen1                     SUSE:sles-15-sp2-chost-byos:gen1:2020.09.22                   2020.09.22
sles-15-sp2-chost-byos     SUSE                gen1                     SUSE:sles-15-sp2-chost-byos:gen1:2020.10.16                   2020.10.16
sles-15-sp2-chost-byos     SUSE                gen1                     SUSE:sles-15-sp2-chost-byos:gen1:2020.12.08                   2020.12.08
sles-15-sp2-chost-byos     SUSE                gen1                     SUSE:sles-15-sp2-chost-byos:gen1:2021.02.02                   2021.02.02
sles-15-sp2-chost-byos     SUSE                gen2                     SUSE:sles-15-sp2-chost-byos:gen2:2020.07.21                   2020.07.21
sles-15-sp2-chost-byos     SUSE                gen2                     SUSE:sles-15-sp2-chost-byos:gen2:2020.08.03                   2020.08.03
sles-15-sp2-chost-byos     SUSE                gen2                     SUSE:sles-15-sp2-chost-byos:gen2:2020.09.22                   2020.09.22
sles-15-sp2-chost-byos     SUSE                gen2                     SUSE:sles-15-sp2-chost-byos:gen2:2020.10.16                   2020.10.16
sles-15-sp2-chost-byos     SUSE                gen2                     SUSE:sles-15-sp2-chost-byos:gen2:2020.12.08                   2020.12.08
sles-15-sp2-chost-byos     SUSE                gen2                     SUSE:sles-15-sp2-chost-byos:gen2:2021.02.02                   2021.02.02
sles-15-sp2-hpc            SUSE                gen1                     SUSE:sles-15-sp2-hpc:gen1:2020.07.16                          2020.07.16
sles-15-sp2-hpc            SUSE                gen1                     SUSE:sles-15-sp2-hpc:gen1:2020.08.18                          2020.08.18
sles-15-sp2-hpc            SUSE                gen1                     SUSE:sles-15-sp2-hpc:gen1:2020.09.21                          2020.09.21
sles-15-sp2-hpc            SUSE                gen1                     SUSE:sles-15-sp2-hpc:gen1:2020.12.10                          2020.12.10
sles-15-sp2-hpc            SUSE                gen1                     SUSE:sles-15-sp2-hpc:gen1:2021.02.05                          2021.02.05
sles-15-sp2-hpc            SUSE                gen2                     SUSE:sles-15-sp2-hpc:gen2:2020.07.16                          2020.07.16
sles-15-sp2-hpc            SUSE                gen2                     SUSE:sles-15-sp2-hpc:gen2:2020.08.18                          2020.08.18
sles-15-sp2-hpc            SUSE                gen2                     SUSE:sles-15-sp2-hpc:gen2:2020.09.21                          2020.09.21
sles-15-sp2-hpc            SUSE                gen2                     SUSE:sles-15-sp2-hpc:gen2:2020.12.10                          2020.12.10
sles-15-sp2-hpc            SUSE                gen2                     SUSE:sles-15-sp2-hpc:gen2:2021.02.05                          2021.02.05
sles-15-sp2-hpc-byos       SUSE                gen1                     SUSE:sles-15-sp2-hpc-byos:gen1:2020.07.16                     2020.07.16
sles-15-sp2-hpc-byos       SUSE                gen1                     SUSE:sles-15-sp2-hpc-byos:gen1:2020.08.03                     2020.08.03
sles-15-sp2-hpc-byos       SUSE                gen1                     SUSE:sles-15-sp2-hpc-byos:gen1:2020.09.21                     2020.09.21
sles-15-sp2-hpc-byos       SUSE                gen1                     SUSE:sles-15-sp2-hpc-byos:gen1:2020.11.06                     2020.11.06
sles-15-sp2-hpc-byos       SUSE                gen1                     SUSE:sles-15-sp2-hpc-byos:gen1:2020.12.11                     2020.12.11
sles-15-sp2-hpc-byos       SUSE                gen1                     SUSE:sles-15-sp2-hpc-byos:gen1:2021.02.16                     2021.02.16
sles-15-sp2-hpc-byos       SUSE                gen2                     SUSE:sles-15-sp2-hpc-byos:gen2:2020.07.16                     2020.07.16
sles-15-sp2-hpc-byos       SUSE                gen2                     SUSE:sles-15-sp2-hpc-byos:gen2:2020.08.03                     2020.08.03
sles-15-sp2-hpc-byos       SUSE                gen2                     SUSE:sles-15-sp2-hpc-byos:gen2:2020.09.21                     2020.09.21
sles-15-sp2-hpc-byos       SUSE                gen2                     SUSE:sles-15-sp2-hpc-byos:gen2:2020.11.06                     2020.11.06
sles-15-sp2-hpc-byos       SUSE                gen2                     SUSE:sles-15-sp2-hpc-byos:gen2:2020.12.11                     2020.12.11
sles-15-sp2-hpc-byos       SUSE                gen2                     SUSE:sles-15-sp2-hpc-byos:gen2:2021.02.16                     2021.02.16
sles-15-sp2-monitoring     SUSE                gen1                     SUSE:sles-15-sp2-monitoring:gen1:2021.02.17                   2021.02.17
sles-15-sp2-monitoring     SUSE                gen2                     SUSE:sles-15-sp2-monitoring:gen2:2021.02.17                   2021.02.17
SLES-BYOS                  SUSE                11-SP4                   SUSE:SLES-BYOS:11-SP4:2020.06.10                              2020.06.10
SLES-BYOS                  SUSE                12-sp2                   SUSE:SLES-BYOS:12-sp2:2020.06.10                              2020.06.10
SLES-BYOS                  SUSE                12-SP3                   SUSE:SLES-BYOS:12-SP3:2020.06.10                              2020.06.10
